# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	3096
#@/user_id	xiaoyi-sp9
a 	啊	c=8 d=1.17034 t=3096
gong jin 	公斤	c=1 d=0.0939493 t=3096
gong ju 	工具	c=2 d=0.98429 t=3096
gong si 	公司	c=7 d=1.56257 t=3096
gong zhong 	宮衆	c=0 d=0.0562705 t=3096
gong zhong hao 	宮衆號	c=1 d=0.565525 t=3096
gong zuo 	工作	c=6 d=1.09577 t=3096
gou 	夠	c=2 d=0.928369 t=3096
gou hao 	夠好	c=1 d=0.0214936 t=3096
gu bu zi feng 	故步自封	c=1 d=0.366045 t=3096
gu ding 	固定	c=1 d=0.0724398 t=3096
gu gan 	骨幹	c=1 d=0.207008 t=3096
gu ji 	估計	c=1 d=0.245367 t=3096
gua 	掛	c=2 d=0.0129848 t=3096
guan bi 	關閉	c=1 d=0.38868 t=3096
guan fang 	官方	c=2 d=0.995012 t=3096
guan ji 	關機	c=2 d=0.011716 t=3096
guan jian 	關鍵	c=2 d=0.0250972 t=3096
guan li 	管理	c=1 d=0.124307 t=3096
guan lian 	關聯	c=1 d=1 t=3096
guan xi 	關係	c=2 d=0.0132462 t=3096
guang dong 	廣東	c=1 d=0.117655 t=3096
gui 	貴	c=1 d=0.138761 t=3096
gui ding 	規定	c=1 d=0.241714 t=3096
gui hua 	規劃	c=4 d=1.54311 t=3096
gui lv 	規律	c=3 d=0.973941 t=3096
guo 	過	c=9 d=1.22843 t=3096
guo de qu 	過得去	c=1 d=0.0200405 t=3096
guo duan 	果斷	c=1 d=0.199888 t=3096
guo lai 	過來	c=3 d=1.85132 t=3096
guo min 	國民	c=1 d=0.647265 t=3096
guo min 	過敏	c=1 d=0.650509 t=3096
guo nei 	國內	c=1 d=0.22313 t=3096
guo qu 	過去	c=1 d=0.0724398 t=3096
guo ran 	果然	c=2 d=0.491718 t=3096
ha 	哈	c=3 d=0.169474 t=3096
hai 	還	c=33 d=3.93595 t=3096
hai mei you 	還沒有	c=1 d=0.036334 t=3096
hai shi 	還是	c=18 d=3.32835 t=3096
hai xian 	海鮮	c=1 d=0.0739031 t=3096
hai yang 	海洋	c=1 d=0.0243554 t=3096
hai you 	還有	c=1 d=0.0982736 t=3096
hai zai 	還在	c=2 d=0.7521 t=3096
hai zi 	孩子	c=1 d=0.0352602 t=3096
han shu 	函數	c=3 d=1.30099 t=3096
han zhe 	含着	c=1 d=0.0706512 t=3096
hao 	好	c=15 d=2.58332 t=3096
hao 	號	c=0 d=0.0562705 t=3096
hao ba 	好吧	c=3 d=1.47794 t=3096
hao chi 	好喫	c=7 d=2.37243 t=3096
hao da 	好大	c=2 d=0.0809154 t=3096
hao dai 	好歹	c=3 d=0.761095 t=3096
hao duo 	好多	c=1 d=0.537944 t=3096
hao ji 	好幾	c=0 d=0.0970446 t=3096
hao ji chu 	好幾處	c=1 d=0.97531 t=3096
hao jiu 	好久	c=1 d=0.00565622 t=3096
hao kan 	好看	c=6 d=1.22696 t=3096
hao le 	好了	c=1 d=0.282239 t=3096
hao ma 	號碼	c=1 d=0.0424257 t=3096
hao peng you 	好朋友	c=1 d=0.164474 t=3096
